id,value
category.Healthcare.Thomas Straumann,5000
category.Food & Beverage.Murat Ulker,5000
category.Fashion & Retail.Chip Wilson,5000
category.Real Estate.Zhu Yan & family,5000
category.Manufacturing.Jim Davis & family,4900
category.Healthcare.Murali Divi & family,4900
category.Technology.Dagmar Dolby & family,4900
category.Technology.Marcos Galperin,4900
category.Service.Tom Golisano,4900
category.Finance & Investments.Jonathan Gray,4900
category.Finance & Investments.Bidzina Ivanishvili,4900
category.Metals & Mining.Lim Hariyanto Wijaya Sarwono,4900
category.Healthcare.Rudolf Maag,4900
category.Food & Beverage.Emanuele (Lino) Saputo & family,4900
category.Automotive.Mark Shoen,4900
category.Sports.Dan Snyder,4900
category.Diversified.Chairul Tanjung,4900
category.Energy.Kelcy Warren,4900
category.Fashion & Retail.Zhang Tao,4900
category.Fashion & Retail.Michael Ashley,4800
category.Fashion & Retail.Tomasz Biernacki,4800
category.Healthcare.Bernard Broermann,4800
category.Fashion & Retail.Jimmy Haslam,4800
category.Manufacturing.H․ Fisk Johnson,4800
category.Manufacturing.S․ Curtis Johnson,4800
category.Manufacturing.Helen Johnson-Leipold,4800
category.Technology.Vinod Khosla,4800
category.Technology.Thai Lee,4800
category.Manufacturing.Winifred J․ Marquart,4800
category.Healthcare.Pankaj Patel,4800
category.Manufacturing.Horst Julius Pudwill,4800
category.Finance & Investments.Yu Yong,4800
category.Diversified.Maria Fernanda Amorim & family,4700
category.Sports.Gayle Benson,4700
category.Technology.Jason Chang,4700
category.Manufacturing.Ali Erdemoglu,4700
category.Finance & Investments.Andre Esteves,4700
category.Real Estate.Carlo Fidani,4700
category.Technology.Hong Ra-hee,4700
category.Manufacturing.Li Gaiteng,4700
category.Media & Entertainment.Thomas Secunda,4700
category.Diversified.Zuowen Song,4700
category.Media & Entertainment.Tim Sweeney,4700
category.Food & Beverage.Bert Beveridge,4600
category.Media & Entertainment.Mark Cuban,4600
category.Media & Entertainment.Charles Dolan & family,4600
category.Technology.Jack Dorsey,4600
category.Energy.Fan Hongwei,4600
category.Metals & Mining.Vladimir Kim,4600
